user_id,event_type,category_code,brand,price,event_date,first_purchase_date,event_month,first_purchase_month,cohort_age,min_event_date,max_event_date
a1515915625520230306,purchase,electronics.telephone,,43.33,9/28/20,9/28/20,2020-09,2020-09,0,,
a1515915625520230306,purchase,electronics.telephone,,43.33,9/28/20,9/28/20,2020-09,2020-09,0,,
a1515915625520230306,purchase,electronics.telephone,,43.33,9/28/20,9/28/20,2020-09,2020-09,0,,
a1515915625520646233,purchase,computers.peripherals.camera,logitech,53.51,9/28/20,9/28/20,2020-09,2020-09,0,,
a1515915625520646233,purchase,computers.peripherals.camera,logitech,53.51,9/28/20,9/28/20,2020-09,2020-09,0,,
a1515915625520646233,purchase,computers.peripherals.camera,logitech,53.51,9/28/20,9/28/20,2020-09,2020-09,0,,
a1515915625520230306,purchase,electronics.telephone,,43.33,9/28/20,9/28/20,2020-09,2020-09,0,,
a1515915625520658368,purchase,computers.notebook,pitatel,36.67,9/28/20,9/28/20,2020-09,2020-09,0,,
a1515915625520658368,purchase,computers.notebook,pitatel,36.67,9/28/20,9/28/20,2020-09,2020-09,0,,
a1515915625520658368,purchase,computers.notebook,pitatel,36.67,9/28/20,9/28/20,2020-09,2020-09,0,,
a1515915625520677724,purchase,,huter,395.54,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520756318,purchase,electronics.telephone,sirius,23.48,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625355805313,purchase,appliances.sewing_machine,janome,314.97,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625511258041,purchase,electronics.tablet,digma,107.79,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625511258041,purchase,electronics.tablet,digma,107.79,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625511258041,purchase,electronics.tablet,digma,107.79,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520734497,purchase,computers.components.motherboard,asus,64.48,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520734497,purchase,computers.components.motherboard,asus,64.48,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625505008297,purchase,computers.peripherals.wifi,ubiquiti,155.43,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625355805313,purchase,appliances.sewing_machine,janome,314.97,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625505008297,purchase,computers.peripherals.wifi,ubiquiti,155.43,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520679716,purchase,computers.components.videocards,gigabyte,182.81,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520679716,purchase,computers.components.videocards,gigabyte,182.81,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520679716,purchase,computers.components.videocards,gigabyte,182.81,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520679716,purchase,computers.components.videocards,gigabyte,182.81,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520679716,purchase,computers.components.videocards,gigabyte,182.81,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520679716,purchase,computers.components.videocards,gigabyte,182.81,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520679716,purchase,computers.components.videocards,gigabyte,182.81,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520679716,purchase,computers.components.videocards,gigabyte,182.81,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520679716,purchase,computers.components.videocards,gigabyte,182.81,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520679716,purchase,computers.components.videocards,gigabyte,182.81,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520913760,purchase,,,15.56,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520913760,purchase,,,15.56,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520913760,purchase,,,15.56,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520913760,purchase,,,15.56,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625503751892,purchase,appliances.environment.vacuum,topon,35.87,9/29/20,9/24/20,2020-09,2020-09,0,,
a1515915625505008297,purchase,computers.peripherals.wifi,ubiquiti,155.43,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520954121,purchase,appliances.steam_cleaner,bort,136.92,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625520975628,purchase,,topon,28.1,9/29/20,9/29/20,2020-09,2020-09,0,,
a1515915625385888878,purchase,stationery.cartrige,cactus,24.73,9/30/20,9/25/20,2020-09,2020-09,0,,
a1515915625385888878,purchase,stationery.cartrige,cactus,24.73,9/30/20,9/25/20,2020-09,2020-09,0,,
a1515915625385888878,purchase,stationery.cartrige,cactus,24.73,9/30/20,9/25/20,2020-09,2020-09,0,,
a1515915625385888878,purchase,stationery.cartrige,cactus,24.73,9/30/20,9/25/20,2020-09,2020-09,0,,
a1515915625521062465,purchase,stationery.cartrige,nv-print,21.21,9/30/20,9/30/20,2020-09,2020-09,0,,
a1515915625521062465,purchase,stationery.cartrige,nv-print,21.21,9/30/20,9/30/20,2020-09,2020-09,0,,
a1515915625521062465,purchase,stationery.cartrige,nv-print,21.21,9/30/20,9/30/20,2020-09,2020-09,0,,
a1515915625521068542,purchase,electronics.telephone,,28.41,9/30/20,9/30/20,2020-09,2020-09,0,,
a1515915625521068542,purchase,electronics.telephone,,28.41,9/30/20,9/30/20,2020-09,2020-09,0,,
a1515915625521068542,purchase,electronics.video.tv,lg,418.02,9/30/20,9/30/20,2020-09,2020-09,0,,
a1515915625521281502,purchase,electronics.telephone,,12.7,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625521281502,purchase,electronics.telephone,,28.41,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625521281502,purchase,electronics.telephone,,12.7,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625521281502,purchase,electronics.telephone,,28.41,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625385482819,purchase,electronics.audio.acoustic,pioneer,71.59,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625385482819,purchase,electronics.audio.acoustic,pioneer,71.59,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625385482819,purchase,electronics.audio.acoustic,pioneer,71.59,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625385482819,purchase,electronics.audio.acoustic,pioneer,71.59,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625385482819,purchase,electronics.audio.acoustic,pioneer,71.59,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625385482819,purchase,electronics.audio.acoustic,pioneer,71.59,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625519417750,purchase,computers.network.router,d-link,53.14,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625519417750,purchase,computers.network.router,d-link,53.14,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625519417750,purchase,computers.network.router,d-link,53.14,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625521489136,purchase,construction.tools.drill,bosch,115.1,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625520734497,purchase,computers.components.motherboard,asus,64.48,10/1/20,9/29/20,2020-10,2020-09,1,,
a1515915625520734497,purchase,computers.components.motherboard,asus,64.48,10/1/20,9/29/20,2020-10,2020-09,1,,
a1515915625521495666,purchase,stationery.cartrige,hp,114.16,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625521495666,purchase,stationery.cartrige,hp,114.16,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625521495666,purchase,stationery.cartrige,hp,114.16,10/1/20,10/1/20,2020-10,2020-10,0,,
a1515915625521725068,purchase,construction.tools.soldering,w.e.p,112.22,10/2/20,10/2/20,2020-10,2020-10,0,,
a1515915625521725068,purchase,construction.tools.soldering,w.e.p,112.22,10/2/20,10/2/20,2020-10,2020-10,0,,
a1515915625521725068,purchase,construction.tools.soldering,w.e.p,112.22,10/2/20,10/2/20,2020-10,2020-10,0,,
a1515915625521750300,purchase,,sencor,230.75,10/2/20,10/2/20,2020-10,2020-10,0,,
a1515915625521782655,purchase,electronics.audio.acoustic,edifier,84.89,10/2/20,10/2/20,2020-10,2020-10,0,,
a1515915625521782655,purchase,electronics.audio.acoustic,edifier,84.89,10/2/20,10/2/20,2020-10,2020-10,0,,
a1515915625521782655,purchase,electronics.audio.acoustic,edifier,84.89,10/2/20,10/2/20,2020-10,2020-10,0,,
a1515915625521902173,purchase,computers.components.cpu,amd,204.29,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625521902173,purchase,computers.components.motherboard,asrock,81.14,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625521902173,purchase,computers.components.cpu,amd,204.29,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625521902173,purchase,computers.components.cpu,amd,204.29,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625509808717,purchase,,,29.22,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625509808717,purchase,,,29.22,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625415474736,purchase,computers.components.videocards,msi,247.4,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625415474736,purchase,computers.components.videocards,msi,247.4,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625415474736,purchase,computers.components.videocards,msi,247.4,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625415474736,purchase,computers.components.videocards,powercolor,251.4,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625415474736,purchase,computers.components.videocards,msi,247.4,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625415474736,purchase,computers.components.videocards,sapphire,254.38,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625415474736,purchase,computers.components.videocards,gigabyte,251.38,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625415474736,purchase,computers.components.videocards,msi,247.4,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625415474736,purchase,computers.components.videocards,gigabyte,292.83,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625415474736,purchase,computers.components.videocards,msi,449.51,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625521969792,purchase,,,1.57,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625521974731,purchase,,bort,179.94,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625521969792,purchase,,,1.57,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625521969792,purchase,,,1.57,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625521969792,purchase,,,1.57,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625521974731,purchase,,bort,179.94,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625521974731,purchase,,bort,179.94,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625522019606,purchase,,,29.22,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625522019606,purchase,,,29.22,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625522096756,purchase,stationery.cartrige,hp,26.19,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625522096756,purchase,stationery.cartrige,hp,26.19,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625522096756,purchase,stationery.cartrige,hp,26.19,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625522096756,purchase,stationery.cartrige,hp,26.19,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625522096756,purchase,stationery.cartrige,hp,26.19,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625522096756,purchase,stationery.cartrige,hp,26.19,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625522096756,purchase,stationery.cartrige,hp,26.19,10/3/20,10/3/20,2020-10,2020-10,0,,
a1515915625522209114,purchase,stationery.cartrige,,18.1,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522209114,purchase,stationery.cartrige,,18.1,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522209114,purchase,stationery.cartrige,,18.1,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522209114,purchase,stationery.cartrige,,18.1,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522228865,purchase,,,11.7,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522228865,purchase,,anker,45.4,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522228865,purchase,,,11.7,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522228865,purchase,,anker,45.4,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522207154,purchase,,,10.65,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522207154,purchase,appliances.kitchen.kettle,polaris,32.17,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522207154,purchase,appliances.kitchen.coffee_machine,kitfort,96.19,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522207154,purchase,computers.notebook,,19.37,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625469806973,purchase,appliances.environment.vacuum,bort,170,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625469806973,purchase,appliances.environment.vacuum,bort,170,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625469806973,purchase,appliances.environment.vacuum,bort,170,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522297596,purchase,computers.components.videocards,palit,259.38,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522096756,purchase,stationery.cartrige,hp,26.19,10/4/20,10/3/20,2020-10,2020-10,0,,
a1515915625522328103,purchase,,,15.08,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522328103,purchase,,,15.08,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522328103,purchase,,,15.08,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522096756,purchase,stationery.cartrige,hp,26.19,10/4/20,10/3/20,2020-10,2020-10,0,,
a1515915625522297596,purchase,computers.components.cpu,amd,56.27,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522297596,purchase,computers.components.cpu,amd,56.27,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625522297596,purchase,computers.components.cpu,amd,56.27,10/4/20,10/4/20,2020-10,2020-10,0,,
a1515915625355805313,purchase,appliances.sewing_machine,janome,314.97,10/4/20,9/29/20,2020-10,2020-09,1,,
a1515915625355805313,purchase,appliances.sewing_machine,janome,314.97,10/4/20,9/29/20,2020-10,2020-09,1,,
a1515915625486521695,purchase,computers.notebook,,10.84,10/5/20,10/5/20,2020-10,2020-10,0,,
a1515915625522567502,purchase,stationery.cartrige,cactus,39.21,10/5/20,10/5/20,2020-10,2020-10,0,,
a1515915625522567502,purchase,stationery.cartrige,cactus,39.21,10/5/20,10/5/20,2020-10,2020-10,0,,
a1515915625522567502,purchase,stationery.cartrige,cactus,39.21,10/5/20,10/5/20,2020-10,2020-10,0,,
a1515915625522567502,purchase,stationery.cartrige,cactus,39.21,10/5/20,10/5/20,2020-10,2020-10,0,,
a1515915625486521695,purchase,computers.notebook,,10.84,10/5/20,10/5/20,2020-10,2020-10,0,,
a1515915625486521695,purchase,computers.notebook,,10.84,10/5/20,10/5/20,2020-10,2020-10,0,,
a1515915625522586313,purchase,electronics.telephone,,12.22,10/5/20,10/5/20,2020-10,2020-10,0,,
a1515915625522586313,purchase,electronics.telephone,,12.22,10/5/20,10/5/20,2020-10,2020-10,0,,
a1515915625522586313,purchase,electronics.telephone,,12.22,10/5/20,10/5/20,2020-10,2020-10,0,,
a1515915625522755221,purchase,computers.components.cpu,amd,56.27,10/6/20,10/6/20,2020-10,2020-10,0,,
